Name,Gene Product,Gene symbol,Chromosome,Region,Mid Log Control 1 TPM,Mid Log Control 2 TPM,Mid Log Control 3 TPM,Mid Log Control AVG TPM,Mid Log Exiguo 1 TPM,Mid Log Exiguo 2 TPM,Mid Log Exiguo 3 TPM,Mid Log Exiguo AVG TPM,Stationary Control 1 TPM,Stationary Control 2 TPM,Stationary Control 3 TPM,Stationary Control AVG TPM,Stationary Exiguo 1 TPM,Stationary Exiguo 2 TPM,Stationary Exiguo 3 TPM,Stationary Exiguo AVG TPM
sds,"product=""solanesyl diphosphate synthase""",sds,NC_010296,1..972,67.58044979,45.95370823,41.63531878,51.72315893,42.64516467,43.10523591,36.44918029,40.73319362,25.12782682,25.15196601,20.89989365,23.72656216,17.78202132,17.60839766,14.11443474,16.50161791
MAE_RS00010,"product=""hypothetical protein""",,NC_010296,complement(969..1514),27.64073099,23.82748554,20.38776846,23.951995,21.91212479,24.11499653,14.49265115,20.17325749,9.50702497,9.200553576,7.115978921,8.607852489,2.94473545,6.798105069,4.548816501,4.763885674
MAE_RS00015,"product=""(2Fe-2S)-binding protein""",,NC_010296,complement(1616..1951),17.27545687,14.35854207,13.31397496,14.98265797,9.711055303,7.655712889,3.7466797,7.037815964,3.902883935,4.983633187,0.991154207,3.29255711,1.993831294,2.761730184,1.759958765,2.171840081
cimA,"product=""citramalate synthase""",cimA,NC_010296,2014..3654,57.30272201,53.1834995,45.20219313,51.89613821,60.68209573,64.53448332,56.33033611,60.51563839,72.55416047,74.69436622,61.89730842,69.71527837,70.95269185,71.65800667,70.77415168,71.1282834
MAE_RS00025,"product=""hypothetical protein""",,NC_010296,complement(3758..4252),32.63839851,36.3573734,44.97665284,37.99080825,50.04844663,45.53635328,39.96458347,45.18312779,26.05076469,31.34755614,17.0438477,24.81405618,21.92489394,25.61992931,26.04312316,24.52931547
MAE_RS00030,"product=""tetratricopeptide repeat protein""",,NC_010296,complement(4541..5341),59.30161823,67.94551777,68.83699624,65.36137741,76.34136858,79.63146646,68.25412008,74.74231837,37.85943593,35.8174526,30.21226107,34.62971653,22.41454687,29.34812401,24.51022724,25.42429937
purE,"product=""5-(carboxyamino)imidazole ribonucleotide mutase""",purE,NC_010296,complement(5384..5917),62.86454642,57.4559209,65.2652653,61.86191087,66.76097944,72.58274814,59.2733148,66.2056808,44.91970911,38.04733292,39.28979822,40.75228008,39.14182065,46.82184258,39.86603226,41.94323183
MAE_RS00040,"product=""Uma2 family endonuclease""",,NC_010296,complement(5942..6643),91.64359171,85.48110439,76.02541696,84.38337102,82.63158168,83.71931835,79.16061725,81.83717243,71.84197466,70.28768584,61.19741872,67.77569307,70.42825618,73.43632019,83.2264945,75.69702363
MAE_RS00045,"product=""fatty acyl-AMP ligase""",,NC_010296,6833..8626,47.45454373,46.3513659,42.04304142,45.28298368,68.70995651,78.95873397,63.25498035,70.30789028,31.43192146,27.87723286,20.23413137,26.51442856,13.96615473,16.26454848,18.45896551,16.22988957
MAE_RS00050,"product=""hypothetical protein""",,NC_010296,8711..8953,9.952938113,18.51532904,17.55319352,15.34048689,15.41691084,14.35346045,14.80169758,14.85735629,18.66317339,18.83526222,11.42070691,16.30638084,15.43865417,15.48690397,14.60113939,15.17556584
